Order ID,Customer Name,Email,Country,Currency,Product SKU,Product Description,Quantity,Unit Price,Total Price,Order Date,Shipping Fee,Delivery Status,Delivery Date,Payment Method,Notes,Unnamed: 0,Delivery_Date_Error,Recalc Total Price,Total_Price_Mismatch,Order Validity
ORD2676,Marie Curie,mariecurie@hotmail.com,USA,$,345,Smartphone,1,40.0,,2023-05-12,7.0,Other,2023-05-17,paypal,<div>Hurry</div>,1,False,47.0,False,Valid
,Marie Curie,mariecurie@gmail.com,UK,JPY,999,Laptop Bag,3,40.0,,2023-05-12,5.0,Other,2023-05-14,credit card,Excellent 👍,30,False,125.0,False,Valid
ORD1265,Anna Müller,annamüller@yahoo.com,USA,£,345,Wireless Mouse,3,40.0,,2023-05-12,,In Transit,2023-05-14,credit card,Excellent 👍,31,False,,False,Valid
ORD13210,Marie Curie,mariecurie@outlook.com,DE,£,345,Smartphone,3,25.0,,2023-05-12,,Other,2023-05-22,Credit Curd,,59,False,,False,Valid
ORD8240,John Doe,johndoe@gmail.com,Deutschland,JPY,678,Gaming Chair,1,40.0,,2023-05-12,5.0,In Transit,2023-05-22,paypal,Excellent 👍,61,False,45.0,False,Valid
,Jane Smith,janesmith@yahoo.com,USA,€,678,Gaming Chair,3,40.0,,2023-05-12,7.0,In Transit,2023-05-17,paypal,<div>Hurry</div>,62,False,127.0,False,Valid
ORD5645,Anna Müller,annamüller@outlook.com,Deutschland,€,345,Smartphone,3,25.0,,2023-05-12,-3.0,In Transit,2023-05-14,Credit Curd,Delayed! 😡,72,False,72.0,False,Valid
ORD18942,John Doe,johndoe@outlook.com,DE,€,345,Gaming Chair,1,40.0,,2023-05-12,7.0,Delivered,2023-05-17,PayPal,<div>Hurry</div>,78,False,47.0,False,Valid
ORD18965,王伟,王伟@outlook.com,United Kingdom,$,123,Gaming Chair,3,25.0,,2023-05-12,,Cancelled,2023-05-14,paypal,Excellent 👍,89,False,,False,Valid
ORD2023,Marie Curie,mariecurie@hotmail.com,UK,USD,999,Wireless Mouse,1,25.0,,2023-05-12,,In Transit,2023-05-22,credit card,,108,False,,False,Valid
ORD5443,Marie Curie,mariecurie@gmail.com,United States,$,123,Smartphone,1,40.0,,2023-05-12,-3.0,In Transit,2023-05-22,credit card,Delayed! 😡,118,False,37.0,False,Valid
ORD13757,王伟,王伟@yahoo.com,USA,$,234,Laptop Bag,3,25.0,,2023-05-12,,In Transit,2023-05-22,paypal,,134,False,,False,Valid
,Anna Müller,annamüller@outlook.com,United Kingdom,€,999,USB-C Cable,2,25.0,,2023-05-12,5.0,Delivered,2023-05-14,PayPal,<div>Hurry</div>,135,False,55.0,False,Valid
ORD4942,Carlos Diaz,carlosdiaz@gmail.com,United States,JPY,345,Smartphone,1,25.0,,2023-05-12,,Delivered,2023-05-17,PayPal,Excellent 👍,137,False,,False,Valid
ORD4899,王伟,王伟@gmail.com,Germany,JPY,234,Laptop Bag,3,25.0,,2023-05-12,7.0,Delivered,2023-05-14,paypal,Delayed! 😡,154,False,82.0,False,Valid
ORD9329,Carlos Diaz,carlosdiaz@hotmail.com,Deutschland,£,234,Gaming Chair,2,25.0,,2023-05-12,,Other,2023-05-22,paypal,,181,False,,False,Valid
ORD3944,John Doe,johndoe@gmail.com,UK,£,999,Smartphone,2,25.0,,2023-05-12,5.0,In Transit,2023-05-22,Cash on deliv,Delayed! 😡,186,False,55.0,False,Valid
ORD8316,Anna Müller,annamüller@yahoo.com,United Kingdom,USD,999,USB-C Cable,3,25.0,,2023-05-12,7.0,Other,2023-05-17,credit card,Excellent 👍,190,False,82.0,False,Valid
ORD17648,Carlos Diaz,carlosdiaz@yahoo.com,United States,JPY,123,Smartphone,3,40.0,,2023-05-12,,In Transit,2023-05-22,credit card,,202,False,,False,Valid
