Order ID,Customer Name,Email,Country,Currency,Product SKU,Product Description,Quantity,Unit Price,Total Price,Order Date,Shipping Fee,Delivery Status,Delivery Date,Payment Method,Notes,Unnamed: 0,Delivery_Date_Error,Recalc Total Price,Total_Price_Mismatch,Order Validity
ORD2676,Marie Curie,mariecurie@hotmail.com,USA,$,345,Smartphone,1,40.0,,2023-05-12,7.0,Other,2023-05-17,paypal,<div>Hurry</div>,1,False,47.0,False,Valid
ORD16610,Carlos Diaz,carlosdiaz@outlook.com,USA,£,999,Laptop Bag,3,25.0,,2023-05-12,,In Transit,2023-05-11,PayPal,Delayed! 😡,9,True,,False,Invalid: Delivery Date Error
ORD8857,Carlos Diaz,carlosdiaz@outlook.com,Deutschland,USD,345,Gaming Chair,1,40.0,,2023-05-12,5.0,In Transit,2023-05-11,PayPal,<div>Hurry</div>,12,True,45.0,False,Invalid: Delivery Date Error
,Marie Curie,mariecurie@gmail.com,UK,JPY,999,Laptop Bag,3,40.0,,2023-05-12,5.0,Other,2023-05-14,credit card,Excellent 👍,30,False,125.0,False,Valid
ORD1265,Anna Müller,annamüller@yahoo.com,USA,£,345,Wireless Mouse,3,40.0,,2023-05-12,,In Transit,2023-05-14,credit card,Excellent 👍,31,False,,False,Valid
ORD11008,王伟,王伟@outlook.com,Germany,£,123,Wireless Mouse,3,25.0,,2023-05-12,-3.0,Delivered,2023-05-11,paypal,Delayed! 😡,36,True,72.0,False,Invalid: Delivery Date Error
ORD5600,Jane Smith,janesmith@yahoo.com,United Kingdom,USD,678,Smartphone,1,25.0,,2023-05-12,5.0,Delivered,2023-05-11,Cash on deliv,Delayed! 😡,44,True,30.0,False,Invalid: Delivery Date Error
ORD19192,Carlos Diaz,carlosdiaz@gmail.com,Germany,£,123,USB-C Cable,1,40.0,,2023-05-12,,In Transit,2023-05-11,PayPal,,58,True,,False,Invalid: Delivery Date Error
ORD13210,Marie Curie,mariecurie@outlook.com,DE,£,345,Smartphone,3,25.0,,2023-05-12,,Other,2023-05-22,Credit Curd,,59,False,,False,Valid
ORD8240,John Doe,johndoe@gmail.com,Deutschland,JPY,678,Gaming Chair,1,40.0,,2023-05-12,5.0,In Transit,2023-05-22,paypal,Excellent 👍,61,False,45.0,False,Valid
,Jane Smith,janesmith@yahoo.com,USA,€,678,Gaming Chair,3,40.0,,2023-05-12,7.0,In Transit,2023-05-17,paypal,<div>Hurry</div>,62,False,127.0,False,Valid
ORD5645,Anna Müller,annamüller@outlook.com,Deutschland,€,345,Smartphone,3,25.0,,2023-05-12,-3.0,In Transit,2023-05-14,Credit Curd,Delayed! 😡,72,False,72.0,False,Valid
ORD18942,John Doe,johndoe@outlook.com,DE,€,345,Gaming Chair,1,40.0,,2023-05-12,7.0,Delivered,2023-05-17,PayPal,<div>Hurry</div>,78,False,47.0,False,Valid
ORD18965,王伟,王伟@outlook.com,United Kingdom,$,123,Gaming Chair,3,25.0,,2023-05-12,,Cancelled,2023-05-14,paypal,Excellent 👍,89,False,,False,Valid
ORD2023,Marie Curie,mariecurie@hotmail.com,UK,USD,999,Wireless Mouse,1,25.0,,2023-05-12,,In Transit,2023-05-22,credit card,,108,False,,False,Valid
